Symbol,Market Cap,Sector,Industry
ACGLO,7829951943,Finance,Property-Casualty Insurers
ACHC,2703769522,Health Care,Medical Specialities
ACHR,4030554062,Industrials,Aerospace
ACHV,74226054,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,12340779665,Consumer Staples,Food Chains
ACIC,519637745,Finance,Property-Casualty Insurers
ACIU,153627877,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,5619677094,Technology,Computer Software: Prepackaged Software
ACLS,1572337397,Technology,Industrial Machinery/Components
ACLX,3250487750,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACM,12604189854,Consumer Discretionary,Military/Government/Technical
ACMR,1271432239,Technology,Industrial Machinery/Components
ACN,2.03562E+11,Consumer Discretionary,Business Services
ACNB,423396117,Finance,Major Banks
ACNT,126888730,Industrials,Steel/Iron Ore
ACOG,64920759,,
ACON,4470256,Health Care,Medical Specialities
ACONW,17810,Health Care,Medical Specialities
ACP,0,Finance,Investment Managers
ACP^A,,,
ACR,142785273,Real Estate,Real Estate Investment Trusts
ACR^C,,,
ACR^D,,,
ACRE,210102222,Real Estate,Real Estate Investment Trusts
ACRS,130581773,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,50475883,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,5068307446,Finance,Specialty Insurers
ACTG,287297260,Miscellaneous,Multi-Sector Companies
ACTU,144241132,Health Care,Biotechnology: Pharmaceutical Preparations
ACU,150179920,Consumer Discretionary,Industrial Machinery/Components
ACV,200834049,Finance,Finance/Investors Services
ACVA,0,Consumer Discretionary,Business Services
ACXP,7247578,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,82441722,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,360073271,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,1.55555E+11,Technology,Computer Software: Prepackaged Software
ADC,7820575569,Real Estate,Real Estate Investment Trusts
ADC^A,,,
ADCT,119891444,Health Care,Biotechnology: Pharmaceutical Preparations
ADD,651515,Consumer Discretionary,Engineering & Construction
ADEA,1349237837,Technology,Computer Software: Prepackaged Software
ADGM,11913022,Health Care,Medical/Dental Instruments
ADI,97523855852,Technology,Semiconductors
ADIL,4990112,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,21289399811,Consumer Staples,Packaged Foods
ADMA,4607356789,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADN,8515921,Miscellaneous,Industrial Machinery/Components
ADNT,997898130,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,26365,Miscellaneous,Industrial Machinery/Components
ADP,1.19901E+11,Technology,EDP Services
ADPT,1245118844,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSE,619157499,Consumer Discretionary,Industrial Specialties
ADSEW,110780631,Consumer Discretionary,Industrial Specialties
ADSK,56658950000,Technology,Computer Software: Prepackaged Software
ADT,6976965958,Consumer Discretionary,Diversified Commercial Services
ADTN,655650871,Utilities,Telecommunications Equipment
ADTX,3477600,Health Care,Biotechnology: Pharmaceutical Preparations
ADUR,127970928,,
ADUS,1835459365,Health Care,Medical/Nursing Services
ADV,437116044,Consumer Discretionary,Business Services
ADVB,42739000,Health Care,Medical Specialities
ADVM,74472818,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,3374793,Consumer Discretionary,Business Services
ADX,0,Finance,Investment Managers
ADXN,6791850,Health Care,Biotechnology: Pharmaceutical Preparations
AEE,26005467380,Utilities,Power Generation
AEF,512119125,Finance,Finance/Investors Services
AEFC,0,,
AEG,12037111392,Finance,Life Insurance
AEHL,4609096,Industrials,Building Materials
AEHR,260275403,Industrials,Electrical Products
AEI,8380907,Finance,Real Estate
AEIS,3606568964,Technology,Industrial Machinery/Components
AEM,53101809374,Basic Materials,Precious Metals
AEMD,5103355,Health Care,Medical/Dental Instruments
AENT,145228505,Consumer Discretionary,Durable Goods
AENTW,8509881,Consumer Discretionary,Durable Goods
AEO,1944233930,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEON,4513306,Health Care,Biotechnology: Pharmaceutical Preparations
AEP,54543104630,Utilities,Electric Utilities: Central
AER,17804177007,Consumer Discretionary,Diversified Commercial Services
AERT,28071538,Consumer Discretionary,Professional Services
AES,7930572094,Utilities,Electric Utilities: Central
AESI,1784709661,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AEVA,398862786,Consumer Discretionary,Auto Parts:O.E.M.
AEVAW,4377095,Consumer Discretionary,Auto Parts:O.E.M.
AEYE,146219768,Technology,Computer Software: Prepackaged Software
AFB,0,Finance,Trusts Except Educational Religious and Charitable
AFBI,113055723,Finance,Banks
AFCG,115013676,Finance,Real Estate
AFG,10519598598,Finance,Property-Casualty Insurers
AFGB,1828290448,Finance,Property-Casualty Insurers
AFGC,1595861571,Finance,Property-Casualty Insurers
AFGD,1764464047,Finance,Property-Casualty Insurers
AFGE,1431055086,Finance,Property-Casualty Insurers
AFJK,0,,
AFL,57555747042,Finance,Accident &Health Insurance
AFMD,9517164,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,235193018,Consumer Staples,Packaged Foods
AFRIW,13708393,Consumer Staples,Packaged Foods
AFRM,14089900735,Finance,Finance: Consumer Services
AFYA,1593003042,Real Estate,Other Consumer Services
AG,1788529842,Basic Materials,Precious Metals
AGAE,41900713,Consumer Discretionary,Services-Misc. Amusement & Recreation
AGCO,6399882621,Industrials,Industrial Machinery/Components
AGD,0,Finance,Trusts Except Educational Religious and Charitable
AGEN,43657751,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,35136576,Consumer Staples,Farming/Seeds/Milling
AGH,9106668,Consumer Discretionary,Hotels/Resorts
AGI,11139306670,Basic Materials,Precious Metals
AGIO,1505743269,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,2135729882,Health Care,Misc Health and Biotechnology Services
AGM,1908420019,Finance,Finance Companies
AGM^D,,,
AGM^E,,,
AGM^F,,,
AGM^G,,,
AGMH,751113,Technology,EDP Services
AGNC,8022753035,Real Estate,Real Estate Investment Trusts
AGNCL,21961273458,Real Estate,Real Estate Investment Trusts
AGNCM,21682142881,Real Estate,Real Estate Investment Trusts
AGNCN,22357458793,Real Estate,Real Estate Investment Trusts
AGNCO,22285425096,Real Estate,Real Estate Investment Trusts
AGNCP,21853222912,Real Estate,Real Estate Investment Trusts
AGO,4149041023,Finance,Property-Casualty Insurers
AGRI,2122878,Industrials,Metal Fabrications
AGRO,1126738677,Consumer Staples,Farming/Seeds/Milling
AGS,493038466,Consumer Discretionary,Miscellaneous manufacturing industries
AGX,1935785704,Consumer Discretionary,Engineering & Construction
AGYS,2038854365,Technology,EDP Services
AHCO,1321696708,Health Care,Medical/Nursing Services
AHG,221619954,Consumer Discretionary,Business Services
AHH,540250682,Finance,Real Estate
AHH^A,,,
AHL^D,,,
AHL^E,,,
AHL^F,,,
AHR,4583574432,Real Estate,Real Estate Investment Trusts
AHT,35517277,Real Estate,Real Estate Investment Trusts
AHT^D,,,
AHT^F,,,
AHT^G,,,
AHT^H,,,
AHT^I,,,
AI,2811406132,Technology,Computer Software: Prepackaged Software
AIEV,11457396,Consumer Discretionary,Auto Manufacturing
AIFE,0,,
AIFEU,0,,
AIFF,36031151,Technology,Computer Software: Prepackaged Software
AIFU,9401759,Finance,Specialty Insurers
AIG,49139836078,Finance,Life Insurance
AIHS,9045514,Finance,Finance: Consumer Services
AIMAU,0,Finance,Blank Checks
AIMAW,0,Finance,Blank Checks
AIMD,7744408,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,2051451000,Consumer Discretionary,Textiles
AIO,684415572,Finance,Finance/Investors Services
AIOT,674472556,Telecommunications,Telecommunications Equipment
AIP,268620126,Technology,Semiconductors
AIR,1956103992,Industrials,Aerospace
AIRE,28616946,Finance,Real Estate
AIRG,42421167,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,11081793,Industrials,Military/Government/Technical
AIRJ,290627861,Industrials,Industrial Machinery/Components
AIRJW,38867977,Industrials,Industrial Machinery/Components
AIRS,120663503,Health Care,Medical/Nursing Services
AIRT,40888740,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,42851400,Consumer Discretionary,Air Freight/Delivery Services
AISP,118107467,Technology,Computer Software: Prepackaged Software
AISPW,31749319,Technology,Computer Software: Prepackaged Software
AIT,8902371610,Consumer Discretionary,Industrial Specialties
AITR,0,,
AITRR,0,,
AITRU,0,,
AIV,1080373847,Real Estate,Real Estate Investment Trusts
AIXI,23010669,Technology,Computer Software: Prepackaged Software
AIZ,9815030814,Finance,Property-Casualty Insurers
AIZN,959459388,Finance,Property-Casualty Insurers
AJG,82476954000,Finance,Specialty Insurers
AKA,129494047,Consumer Discretionary,Catalog/Specialty Distribution
AKAM,11476743874,Consumer Discretionary,Business Services
AKAN,1569494,Health Care, Medicinal Chemicals and Botanical Products 
AKBA,401592797,Health Care,Biotechnology: Pharmaceutical Preparations
AKO/A,,,
AKO/B,,,
AKR,2273918670,Real Estate,Real Estate Investment Trusts
AKRO,2974607982,Health Care,Biotechnology: Pharmaceutical Preparations
AKTX,29460208,Health Care,Biotechnology: Pharmaceutical Preparations
AKYA,61274119,Industrials,Biotechnology: Laboratory Analytical Instruments
AL,4921744504,Consumer Discretionary,Diversified Commercial Services
ALAB,10431332854,Technology,Semiconductors
ALAR,44932962,Technology,Computer Software: Prepackaged Software
ALB,7109667187,Industrials,Major Chemicals
ALB^A,,,
ALBT,6606668,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALC,44510522997,Health Care,Ophthalmic Goods
ALCO,221415676,,
ALCY,0,Finance,Blank Checks
ALDF,0,,
ALDFU,0,Finance,Blank Checks
ALDFW,0,,
ALDX,115834789,Health Care,Biotechnology: Pharmaceutical Preparations
ALE,3771681106,Utilities,Power Generation
ALEC,97044719,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,1199011217,Real Estate,Real Estate Investment Trusts
ALF,0,,
ALFUU,0,,
ALFUW,0,Finance,Blank Checks
ALG,2082154577,Industrials,Industrial Machinery/Components
ALGM,4277224493,Technology,Semiconductors
ALGN,12145819849,Health Care,Industrial Specialties
ALGS,30754984,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,923148713,Consumer Discretionary,Air Freight/Delivery Services
ALHC,3556571435,Health Care,Medical Specialities
ALIT,2900098624,Consumer Discretionary,Business Services
ALK,6187139505,Consumer Discretionary,Air Freight/Delivery Services
ALKS,4684911270,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,2547644416,Technology,Computer Software: Prepackaged Software
ALL,51150027264,Finance,Property-Casualty Insurers
ALL^B,,,
ALL^H,,,
ALL^I,,,
ALL^J,,,
ALLE,10756092252,Consumer Discretionary,Diversified Commercial Services
ALLK,28729734,Health Care,Biotechnology: Pharmaceutical Preparations
ALLO,308515928,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLR,11937539,Health Care,Biotechnology: Pharmaceutical Preparations
ALLT,213547339,Telecommunications,Computer Communications Equipment
ALLY,10358924627,Finance,Major Banks
ALMS,437434909,Health Care,Biotechnology: Pharmaceutical Preparations
ALMU,108013744,Technology,Semiconductors
ALNT,364690699,Industrials,Electrical Products
ALNY,31493042340,Health Care,Biotechnology: Pharmaceutical Preparations
ALOT,66329063,Technology,Computer peripheral equipment
ALRM,2636252567,Technology,Computer Software: Prepackaged Software
ALRS,428124992,Finance,Major Banks
ALSN,7877090429,Consumer Discretionary,Auto Parts:O.E.M.
ALT,325767773,Health Care,Biotechnology: Pharmaceutical Preparations
ALTG,148525799,Industrials,Industrial Machinery/Components
ALTG^A,,,
ALTI,423871970,Finance,Investment Managers
ALTO,64354068,Industrials,Major Chemicals
ALTS,67047958,Consumer Discretionary,Home Furnishings
ALUR,15147414,Health Care,Medical/Dental Instruments
ALV,6471278255,Consumer Discretionary,Auto Parts:O.E.M.
ALVO,2637781617,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVOW,455726572,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALX,1028046404,Real Estate,Real Estate Investment Trusts
ALXO,27690356,Health Care,Biotechnology: Pharmaceutical Preparations
ALZN,5245018,Health Care,Biotechnology: Pharmaceutical Preparations
AM,7806063860,Utilities,Natural Gas Distribution
AMAL,836230397,Finance,Major Banks
AMAT,1.21647E+11,Technology,Semiconductors
AMBA,2037420054,Technology,Semiconductors
AMBC,320920743,Finance,Property-Casualty Insurers
AMBI,258303106,Industrials,Environmental Services
AMBO,7569396,Real Estate,Other Consumer Services
AMBP,1601834890,Industrials,Containers/Packaging
AMBR,954246594,Finance,Finance: Consumer Services
AMC,1248334922,Consumer Discretionary,Movies/Entertainment
AMCR,13036995772,Consumer Discretionary,Miscellaneous manufacturing industries
AMCX,270992547,Telecommunications,Cable & Other Pay Television Services
AMD,1.56927E+11,Technology,Semiconductors
AME,37136160502,Industrials,Industrial Machinery/Components
AMED,3531013666,Health Care,Medical/Nursing Services
AMG,4676148548,Finance,Investment Managers
AMGN,1.56375E+11,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,12991727830,Real Estate,Real Estate Investment Trusts
AMH^G,,,
AMH^H,,,
AMIX,4014662,Health Care,Medical/Dental Instruments
AMKR,4436235822,Technology,Semiconductors
AMLX,309222613,Health Care,Biotechnology: Pharmaceutical Preparations
AMN,790895184,Consumer Discretionary,Professional Services
AMOD,7236179,Miscellaneous,Multi-Sector Companies
AMODW,358549,Miscellaneous,Multi-Sector Companies
AMP,45464050027,Finance,Investment Managers
AMPG,27719134,Telecommunications,Telecommunications Equipment
AMPGW,7839993,Telecommunications,Telecommunications Equipment
AMPH,1202212553,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,1242343718,Technology,Computer Software: Prepackaged Software
AMPS,798896052,Utilities,Electric Utilities: Central
AMPX,299534092,Miscellaneous,Industrial Machinery/Components
AMPY,116158859,Energy,Oil & Gas Production
AMR,1518157676,Energy,Coal Mining
AMRC,567970513,Consumer Discretionary,Engineering & Construction
AMRK,526678953,Industrials,Other Specialty Stores
AMRN,189821579,Health Care,Biotechnology: Pharmaceutical Preparations
AMRX,2303049914,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,17092500,Health Care,Medical Specialities
AMSC,742237578,Consumer Discretionary,Metal Fabrications
AMSF,939561536,Finance,Property-Casualty Insurers
AMST,8467507,Technology,Computer Software: Prepackaged Software
AMT,96988031475,Real Estate,Real Estate Investment Trusts
AMTB,773850233,Finance,Major Banks
AMTD,64405355,Finance,Finance: Consumer Services
AMTM,4381876692,,
AMTX,92775652,Industrials,Major Chemicals
AMWD,863525850,Basic Materials,Forest Products
AMWL,111923628,Consumer Discretionary,Business Services
AMX,43715000000,Telecommunications,Telecommunications Equipment
AMZE,7521029,Consumer Staples,Beverages (Production/Distribution)
AMZN,2.02523E+12,Consumer Discretionary,Catalog/Specialty Distribution
AN,6768896920,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ANAB,518268599,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,1322668749,Industrials,Farming/Seeds/Milling
ANEB,38812745,Health Care,Biotechnology: Pharmaceutical Preparations
ANET,95845317296,Telecommunications,Computer Communications Equipment
ANF,3774157272,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANG^B,,,
ANG^D,,,
ANGH,17528688,Consumer Discretionary,Telecommunications Equipment
ANGHW,386225,Consumer Discretionary,Telecommunications Equipment
ANGI,651987687,Consumer Discretionary,Advertising
ANGO,387796716,Health Care,Medical/Dental Instruments
ANIK,197896876,Health Care,Medical/Dental Instruments
ANIP,1388194855,Health Care,Biotechnology: Pharmaceutical Preparations
ANIX,86609559,Health Care,Biotechnology: Pharmaceutical Preparations
ANL,73062531,Health Care,Biotechnology: Pharmaceutical Preparations
ANNA,642485951,Energy,Oil & Gas Production
ANNAW,16984266,Energy,Oil & Gas Production
ANNX,155787953,Health Care,Biotechnology: Pharmaceutical Preparations
ANRO,56039307,Health Care,Biotechnology: Pharmaceutical Preparations
ANSC,0,,
ANSCW,0,,
ANSS,27147509611,Technology,Computer Software: Prepackaged Software
ANTE,7126380,Consumer Discretionary,Advertising
ANTX,39128336,Health Care,Biotechnology: Pharmaceutical Preparations
ANVS,25137238,Health Care,Biotechnology: Pharmaceutical Preparations
ANY,11256661,Finance,Finance: Consumer Services
AOD,0,Finance,Investment Managers
AOMN,0,Finance,Real Estate
AOMR,188706405,Finance,Real Estate
AON,80648332947,Finance,Specialty Insurers
AORT,1007046918,Health Care,Medical/Dental Instruments
AOS,9006085425,Consumer Discretionary,Consumer Electronics/Appliances
AOSL,671838143,Technology,Semiconductors
AOUT,148742371,Consumer Discretionary,Recreational Games/Products/Toys
AP,39385449,Industrials,Fluid Controls
APA,6083514720,Energy,Oil & Gas Production
APAM,2981894314,Finance,Investment Managers
APCX,12281548,Technology,Computer Software: Prepackaged Software
APD,60112924953,Industrials,Major Chemicals
APDN,1302449,Consumer Discretionary,Other Consumer Services
APEI,432977817,Real Estate,Other Consumer Services
APG,9792248039,Consumer Discretionary,Engineering & Construction
APGE,1892201251,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APH,80149347661,Technology,Electrical Products
API,276606528,Technology,Computer Software: Prepackaged Software
APLD,1230427160,Finance,Finance: Consumer Services
APLE,2922801078,Real Estate,Real Estate Investment Trusts
APLM,6269223,Health Care,Biotechnology: Pharmaceutical Preparations
APLMW,8937,Health Care,Biotechnology: Pharmaceutical Preparations
APLS,2461365093,Health Care,Biotechnology: Pharmaceutical Preparations
APLT,36757010,Health Care,Biotechnology: Pharmaceutical Preparations
APM,3834456,Health Care,Biotechnology: Pharmaceutical Preparations
APO,73278215729,Finance,Investment Managers
APO^A,,,
APOG,1027636969,Consumer Discretionary,Auto Parts:O.E.M.
APOS,14756632962,Finance,Investment Managers
APP,93474915196,Technology,Computer Software: Programming Data Processing
APPF,8319943165,Technology,Computer Software: Prepackaged Software
APPN,2078446266,Technology,Computer Software: Prepackaged Software
APPS,295069133,Miscellaneous,Multi-Sector Companies
APRE,8704746,Health Care,Biotechnology: Pharmaceutical Preparations
APT,47625558,Health Care,Industrial Specialties
APTV,12486471347,Consumer Discretionary,Auto Parts:O.E.M.
APVO,1458445,Health Care,Biotechnology: Pharmaceutical Preparations
APWC,30305854,Industrials,Telecommunications Equipment
APYX,34014497,Health Care,Medical/Dental Instruments
AQB,2476391,Consumer Staples,Meat/Poultry/Fish
AQMS,13430774,Industrials,Metal Fabrications
AQN,3768191466,Utilities,Electric Utilities: Central
AQNB,19431895705,Utilities,Electric Utilities: Central
AQST,255088132,Health Care,Biotechnology: Pharmaceutical Preparations
AR,10857070200,Energy,Oil & Gas Production
ARAY,163500530,Health Care,Medical/Dental Instruments
ARBB,16124231,Technology,EDP Services
ARBE,115679507,Technology,EDP Services
ARBEW,20895925,Technology,EDP Services
ARBK,23905954,Finance,Finance: Consumer Services
ARBKL,4390815000,Finance,Finance: Consumer Services
ARCB,1661263806,Industrials,Trucking Freight/Courier Services
ARCC,14007106364,Finance,Finance: Consumer Services
ARCO,1516715777,Consumer Discretionary,Restaurants
ARCT,266316662,Health Care,Biotechnology: Pharmaceutical Preparations
ARDC,305226987,Finance,Investment Managers
ARDT,1808642665,Health Care,Hospital/Nursing Management
ARDX,1072602999,Health Care,Biotechnology: Pharmaceutical Preparations
ARE,13989276205,Real Estate,Real Estate Investment Trusts
AREB,3340093,Industrials,Plastic Products
AREBW,14366,Industrials,Plastic Products
AREC,36844775,Energy,Coal Mining
AREN,92083553,Technology,EDP Services
ARES,44904865606,Finance,Investment Managers
ARES^B,,,
ARGD,263,Finance,Specialty Insurers
ARGO^A,,,
ARGX,34406772159,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARHS,1182286496,Consumer Discretionary,Other Specialty Stores
ARI,1188737369,Real Estate,Real Estate Investment Trusts
ARIS,1575055182,Energy,Oilfield Services/Equipment
ARKO,466558412,Consumer Staples,Food Chains
ARKOW,4816087,Consumer Staples,Food Chains
ARKR,32437413,Consumer Discretionary,Restaurants
ARL,188978903,Real Estate,Other Consumer Services
ARLO,965989727,Consumer Staples,Consumer Electronics/Appliances
ARLP,3408479757,Energy,Coal Mining
ARM,1.10889E+11,Technology,Semiconductors
ARMK,9005611619,Consumer Discretionary,Restaurants
ARMN,831117885,,
ARMP,34373914,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AROC,4117061998,Utilities,Natural Gas Distribution
AROW,424124599,Finance,Major Banks
ARQ,155872916,Industrials,Major Chemicals
ARQQ,167928841,Technology,Computer Software: Prepackaged Software
ARQQW,26258419,Technology,Computer Software: Prepackaged Software
ARQT,1728559084,Health Care,Biotechnology: Pharmaceutical Preparations
ARR,1150044727,Real Estate,Real Estate Investment Trusts
ARR^C,,,
ARRY,688622374,Consumer Discretionary,Miscellaneous manufacturing industries
ARTL,3018221,Health Care,Biotechnology: Pharmaceutical Preparations
ARTNA,328253389,Utilities,Water Supply
ARTV,48482607,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARTW,7674513,Industrials,Industrial Machinery/Components
ARVN,462834665,Health Care,Biotechnology: Pharmaceutical Preparations
ARW,5269924326,Technology,Electronic Components
ARWR,1487957710,Health Care,Biotechnology: Pharmaceutical Preparations
AS,13358749384,Consumer Discretionary,Apparel
ASA,499554776,Industrials,Precious Metals
ASAN,3789799972,Technology,Computer Software: Prepackaged Software
ASB,3426321734,Finance,Major Banks
ASB^E,,,
ASB^F,,,
ASBA,3603511462,Finance,Major Banks
ASBP,24939495,Health Care,Biotechnology: Pharmaceutical Preparations
ASC,363314969,Consumer Discretionary,Marine Transportation
ASG,0,Finance,Investment Managers
ASGI,0,Finance,Investment Managers
ASGN,2684888000,Consumer Discretionary,Professional Services
ASH,2441713109,Consumer Discretionary,Specialty Chemicals
ASIX,564567972,Industrials,Major Chemicals
ASLE,391596005,Consumer Discretionary,Industrial Specialties
ASM,231029211,Basic Materials,Metal Mining
ASMB,64754213,Health Care,Biotechnology: Pharmaceutical Preparations
ASML,2.70288E+11,Technology,Industrial Machinery/Components
ASND,8365438888,Health Care,Biotechnology: Pharmaceutical Preparations
ASNS,5482489,Telecommunications,Telecommunications Equipment
ASO,2674158655,Consumer Discretionary,Other Specialty Stores
ASPCR,0,Finance,Blank Checks
ASPI,359619614,Industrials,Major Chemicals
ASPN,452146093,Consumer Discretionary,RETAIL: Building Materials
ASPS,196521357,Consumer Discretionary,Other Consumer Services
ASR,8067900000,Consumer Discretionary,Aerospace
ASRT,55232337,Health Care,Biotechnology: Pharmaceutical Preparations
ASRV,34360075,Finance,Major Banks
ASST,6932731,Technology,Computer Software: Prepackaged Software
ASTC,10295460,Industrials,Biotechnology: Laboratory Analytical Instruments
ASTE,758460242,Industrials,Construction/Ag Equipment/Trucks
ASTH,1796142421,Consumer Discretionary,Professional Services
ASTI,2320138,Technology,Semiconductors
ASTL,511244284,Industrials,Steel/Iron Ore
ASTLW,37477106,Industrials,Steel/Iron Ore
ASTS,7640112607,Consumer Discretionary,Telecommunications Equipment
ASUR,251718595,Technology,EDP Services
ASX,18438827121,Technology,Semiconductors
ASYS,60871421,Technology,Industrial Machinery/Components
ATAI,257798392,Health Care,Biotechnology: Pharmaceutical Preparations
ATAT,3164690428,Consumer Discretionary,Hotels/Resorts
ATCH,660511,Finance,Finance: Consumer Services
ATCO^D,,,
ATCO^H,,,
ATCOL,4971715636,Consumer Discretionary,Marine Transportation
ATEC,1448699782,Health Care,Medical/Dental Instruments
ATEN,1193187377,Telecommunications,Computer Communications Equipment
ATER,15488812,Consumer Discretionary,Home Furnishings
ATEX,613178070,Telecommunications,Telecommunications Equipment
ATGE,3967957608,Real Estate,Other Consumer Services
ATGL,526964625,Technology,EDP Services
ATH^A,,,
ATH^B,,,
ATH^C,,,
ATH^D,,,
ATH^E,,,
ATHA,9155453,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHE,24086312,Health Care,Biotechnology: Pharmaceutical Preparations
ATHM,3081662888,Technology,EDP Services
ATHS,5054374714,,
ATI,6917842862,Industrials,Steel/Iron Ore
ATII,0,,
ATIIU,0,Finance,Blank Checks
ATKR,2047755563,Miscellaneous,Industrial Machinery/Components
ATLC,795974015,Finance,Finance: Consumer Services
ATLCL,362843833,Finance,Finance: Consumer Services
ATLCP,339339473,Finance,Finance: Consumer Services
ATLCZ,367302859,Finance,Finance: Consumer Services
ATLN,240300391,Industrials,Biotechnology: Laboratory Analytical Instruments
ATLO,154952381,Finance,Major Banks
ATLX,67382179,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
